Judul,Isi,Kategori
"Gelapkan dan Jual Kembali Mobil Kredit, Ibu Muda di Lebak Diringkus...","LEBAK– Seorang ibu muda, AK (29), asal Kabupaten Lebak, Banten ditangkap Subdit II Ditreskrimsus Polda Banten. Ia diamankan lantaran telah menggelapkan mobil kreditan dan menjualnya kembali kepada orang lain.Kasubdit II Ditreskrimsus Polda Banten Kompol DP Ambarita mengatakan, penangkapan AK berdasarkan laporan yang dibuat oleh PT Mitra Pinasthika Mustika Finance Indonesia Cabang Cilegon selaku pihak leasing.AK menggelapkan mobil kreditan berplat nomor A 8904 KG jenis Suzuki Futura 1.5 kepada orang lain tanpa sepengetahuan. Kendaraan itu dijualnya pada Oktober 2020 lalu.“Tanpa adanya ijin tertulis dari pihak kreditur PT MPM Finance, tersangka menjual mobilnya,” jelasnya, Senin (31/7/2023).Ambarita mengungkapkan, menurut keterangan pihak leasing, AK tidak pernah membayar kewajibannya kepada PT MPM meski kendaraan itu telah dijual. Dalam catatan perusahaan, AK baru membayar cicilan sebanyak 15 kali dari 48 kali.“Semenjak mobil tersebut dipindah tangankan, tersangka tidak melakukan angsuran pembayaran unit tersebut,” ungkapnya.Pihak leasing, kata Ambarita, telah meminta AK untuk mengembalikan mobil kreditan tersebut namun tersangka tidak bisa menunjukkannya. Perusahaan mengalami kerugian hingga ratusan juta rupiah akibat perbuatan AK.“Kerugian Rp115 juta, dari kewajiban angsuran 48 kali pembayaran, dan baru angsur 15 pembayaran,” terangnya.Ambarita menegaskan saat ini tersangka telah dilakukan penahanan, dan berkas telah dilimpahkan ke Kejaksaan Negeri Lebak untuk segera di sidangkan di Pengadilan Negeri Lebak. AK diamankan terkait tindak pidana jaminan fidusia, sebagaimana dalam pasal 36 Undang-Undang nomor 42 Tahun 1999 Tetang Fidusia.“Pelimpahan tersangka dan barang bukti tahap 2 sudah hari ini (Senin, 31/7/2023),” katanya.(Nin/Red)",hukum
Suami di Bogor Aniaya Istri Hingga Tewas Gara-gara Sering Main TikTok,"BOGOR– Seorang suami bernama Adi Pratama warga Desa Bojonggede, Kecamatan Bojonggede Kabupaten Bogor tega menganiaya istrinya hingga tewas gara-gara dilarang main tiktok.Kapolsek Bojonggede Kompol Robinson menyampaikan bahwa kejadian itu terjadi pada Kamis malam sekitar pukul 20:00 WIB di rumah pasangan tersebut.Robinson menyampaikan, berdasarkan kesaksian anak perempuan pelaku, N (11), kejadian itu bermula saat sang Istri EI melihat akun Tiktok Adi Pratama pada Kamis 19 Oktober 2023.Dalam akun Adi Pratama, diketahui Adi sering melihat akun mantan kekasihnya yang sudah meninggal dunia.“Isinya ada perempuan yang dikenal oleh korban sebagai mantan kekasih namun sudah meninggal,” kata Kompol Robinson, Jumat 20 Agustus 2023.Kemudian, sang istri cemburu atas kelakuan suami yang tidak menghargai diri EI sebagai istrinya. Kemudian EI melarang lewat pesan Whatsapp agar tidak bermain Tiktok.“kemudian korban mengirim chat kepada suaminya supaya tidak main tiktok yang isinya perempuan,” papar dia.Karena kesal diingatkan sang istri, Adi Pratama kemudian pulang sekitar pukul 20:00 WIB. Setibanya di rumah, Adi Pratama langsung menganiaya sang istri.“Ia memarahi istrinya yang camburu dengan perempuan yang sudah meninggal, kemudian memukul dan manjambak bertubi-tubi sampai dijedotin ke tembok,” jelasnya.Usai puas menganiaya sang istri, Adi Pratama kemudian langsung kabur dari rumah meninggalkan sang istri yang terbaring lemas karena perbuatannya.“Setelah itu dia meninggalkan TKP. Setelah kejadian korban mengalami pusing dan muntah-muntah, kemudian mengorok lalu sekitar jam 21.30 WIB dibawa oleh keluarga ke RSUD dan dinyatakan sudah tidak bernyawa,” ungkap dia.Pada Jumat 20 Oktober 2023 atau sehari setelah kejadian, Adi Pratama langsung dibekuk polisi di Perum Bumi Cibinong Endah, Kelurahan Sukahati, Kecamatan Cibinong.“Kita bawa ke Polsek Bojonggede untuk dilakukan penyelidikan lebih lanjut,” tutup dia.(Red)",hukum
Satpol PP Cilegon Segera Tertibkan Alat Peraga Kampanye,"CILEGON– Menjelang pemilu serentak 2024, hampir semua sudut di Kota Cilegon dipenuhi dengan alat peraga kampanye (APK) bakal calon anggota legislatif (Caleg).Kondisi itu pun banyak dikeluhkan masyarakat karena dinilai mengganggu kenyamanan warga. Menyikapi hal itu, Satuan Polisi Pamong Praja (Satpol PP) Kota Cilegon menggelar rapat koordinasi dengan Badan Pengawas Pemilu (Bawaslu) dan juga Badan Pengelolaan Keuangan, Pendapatan dan Aset Daerah (BPKPAD) Kota Cilegon, Jumat (15/9/2023).Dalam rapat yang digelar di kantor tersebut Satpol PP Kota Cilegon tersebut disepakati akan segera menertibkan alat peraga kampanye yang dianggap tidak sesuai ketentuan.Kepala Seksi Operasi dan Pengendalian Satpol PP Cilegon, Ardiano Setiawan mengaku banyak menerima aduan masyarakat terkait maraknya alat peraga kampanye. Pihaknya pun menggandeng Bawaslu dan juga BPKPAD untuk melakukan pendampingan saat penertiban.“Kalau spanduk atau atribut komersial kami sudah tertibkan sejak sebulan terakhir. Tapi kalau berkaitan dengan pemilu kami harus koordinassi dengan Bawaslu. Kalau BPKPAD terkait apakah mereka ada yang membayar pajak atau tidak,” jelas Aardiano.Dia mengakui, saat ini banyak alat peraga kampanye yang dipasang sembarangan. Seperti di tiang listrik, pohon dan fasilitas umum lainnya yang dianggap mengganggu keamanan dan kenyamanan masyarakat. Hal itu jelas melanggar Peraturan Daerah (Perda) Nomor 5 tahun 2003 tentang Ketertiban, Kebersihan Dan Keindahan (K3) di Wilayah Kota Cilegon.“Nanti kita aka libatkan juga PPNS (penyidik pegawai negeri sipil) dalam penertiban itu agar pihak-pihak yang melanggar juga langsung diberikan arahan. Kalau ada pelanggaran, seperti apa juga sanksinya silahkan nanti PPNS yang mengatasi,” jelasnya.Sementara itu, Ketua Bawaslu Kota Cilegon Alam Arcy Ashari mengaku siap bersama Satpol PP dalam menertibkan alat peraga kampanye. “Memang harus ditertibkan, apalagi di tempat-tempat yang dilarang. Jadi untuk kampanye ini kan sebenarnya mulainya tanggal 28 November,” kata Alam.Bawaslu, kata Alam, telah mengeluarkan imbauan pencabutan atau penurunan secara mandiri oleh parpol atau para pemilik alat peraga. Bila tidak ditertibkan sendiri, pihaknya bersama Satpol PP siap melakukan eksekusi menurunkan alat peraga.“Partai politik sampai sekarang ini kan masih tahap sosialisasi tentang pendidikan partai politik dan sebagainya. Jadi kalau itu dipasang di tempat yang bener enggak jadi soal karena kembali lagi secara K3 di pohon-pohon itu masih banyak yang harus ditertibkan,” jelasnya. (Man/Red)",Politik
KPU Lebak Bantah Isu PPK Titipan,"LEBAK– Ketua Komisi Pemilihan Umum (KPU) Kabupaten Lebak, Ni’matullah membantah adanya kabar atau isu titipan pada perekrutan Panitia Pemilihan Kecamatan (PPK) di KPU Lebak“Kabar yang berkembang di luar sana itu tidaklah benar sama sekali, dan semua PPK itu murni tidak ada titipan dari manapun. Mereka (PPK) yang dinyatakan sudah lolos tes tulis berdasarkan penilaian objektif dari KPU,” kata Ni’matullah saat ditemui di ruang kerjanya, Jumat (16/12/2022).Ia menjelaskan, jika calon PPK yang lolos tes tertulis itu berdasarkan nilai yang tertinggi, dan pihak KPU kemudian melakukan perangkingan di setiap kecamatan.“Disitulah calon PPK yang mengikuti tes tertulis akan diambil lima belas besar di setiap kecamatan, sehingga yang nilainya tertinggi otomatis langsung masuk,” ujarnya.Ia menambahkan, begitu juga pada tes wawancara akan mengambil lima besar sebagai anggota PPK definitif dan semuanya dalam rekrutmen anggota PPK berdasarkan nilai murni yang diperoleh.“Dengan demikian, KPU telah bekerja secara profesional dalam perekrutan PPK. Dan isu titipan tersebut tidak benar,” ucapnya.(San/Red)",Politik
Satgas Antimafia Bola Polri Kembali Tetapkan 2 Tersangka Pengaturan Skor di...,"SERANG– Satuan Tugas Antimafia Bola Polri kembali menetapkan 2 orang sebagai tersangka suap pengaturan skor atau match fixing pertandingan Liga 2 musim 2018. Kedua tersangka yakni berinisial VW dan DR.Ketua Satgas Antimafia Bola, Irjen Pol Asep Edi Suheri mengatakan, tersangka VW adalah mantan pemilik tim di Liga 2 yang memberi suap.“VW merupakan eks pemilik salah satu klub sepak bola yang berperan aktif sebagai pelobi wasit dan VW sendiri melakukan lobi dan meminta kepada perangkat wasit untuk memenangkan club Y dengan memberikan janji akan memberikan sesuatu,” ujar dia di Mabes Polri, Jakarta Selatan, Kamis, (12/10/2023).Sementara itu, tersangka DR adalah pengurus tim yang berperan menyandang dana suap. Ia memberikan uang kepada VW untuk mengatur dan memenangkan pertandingan.“Adapun motif tersangka DR melakukan penyuapan adalah untuk memenangkan klub Y agar dapat promosi ke Liga 1,” katanya.Dari pengungkapan kasus ini, Irjen Pol Asep yang juga menjabat sebagai Wakabareskrim Polri mengatakan, penyidik memperoleh alat bukti yakni keterangan saksi sebanyak 16 orang, keterangan ahli 6 orang, rekening koran pengiriman uang serta bukti petunjuk lainnya.Kedua tersangka dijerat dengan Pasal 2 Undang-Undang Nomor 11 Tahun 1980 tentang Tindak Pidana Suap Juncto Pasal 55 Ayat 1 ke 1 KUHP. Keduanya terancam pidana selama-lamanya 5 tahun penjara dan denda sebanyak-banyaknya Rp15 juta.Sebelumnya Satgas Antimafia Bola Polri menetapkan sebanyak enam orang sebagai tersangka kasus pengaturan pertandingan atau match fixing pertandingan Liga 2 pada tahun 2018 oleh Satuan Tugas (Satgas) Anti Mafia Bola Polri.“Kami sampaikan bahwa diketahui terdapat wasit yang terindikasi terlibat dalam praktik match fixing pada pertandingan Liga 2 antara club X melawan club Y pada November 2018,” ucap Ketua Satgas Anti Mafia Bola, Irjen Asep Edi Suheri, kepada wartawan, Rabu (27/9/2023).Asep mengatakan keenamnya berinisial K dan A selaku kurir pengantar uang. Selanjutnya, R dan A selaku wasit tengah dan cadangan, K dan R selaku asisten wasit.Modusnya, mereka melobi wasit yang mengawal pertandingan memudahkan kemenangan bagi tim yang membayar.(Red)",hukum
"Resmi Dibuka, 810 Atlet Siap Bertanding di O2SN Kota Tangerang","TANGERANG– Sebagai salah satu upaya mengembangkan minat dan bakat anak-anak di Kota Tangerang, Dinas Pendidikan (Dindik) kembali menggelar Olimpiade Olahraga Siswa Nasional (O2SN) tingkat Kota Tangerang tahun 2023.Acara dibuka di Stadion Benteng Reborn, Senin (12/6/2023). Selain itu, acara juga dimeriahkan dengan berbagai penampilan tari, silat, karate, dan pawai dari 13 korwil yang akan bertanding.“Hari ini, O2SN tingkat Kota Tangerang sudah resmi dibuka. Jumlah atlet yang akan bertanding di tingkat SD adalah sebanyak 650 atlet dan SMP adalah sebanyak 160 atlet. Secara total ada 810 peserta, dan akan dimulai selama dua hingga tiga hari ke depan,” ungkap Kepala Dinas Pendidikan, Jamaluddin.Ia melanjutkan, cabang olahraga yang akan dilaksanakan untuk jenjang SD ada sebanyak 11 cabang olahraga di antaranya adalah atletik, renang, senam, bulu tangkis, pencak silat, karate, tenis meja, catur, bola voli mini, sepak takraw, dan sepak bola mini. sedangkan untuk jenjang SMP ada sebanyak lima cabang olahraga yaitu atletik, renang, bulu tangkis, pencak silat, dan karate.“Kegiatan ini kan berjenjang dari tingkat kecamatan, lalu tingkat kota, provinsi lalu nasional. Jadi, kalau misalnya juara satu akan kirim ke tingkat provinsi dan nanti ke tingkat nasional. Nanti, akan kami siapkan guru di sekolah masing-masing sebelum dikirim ke provinsi,” lanjutnya.Sementara itu, Koordinator Wilayah Pendidikan Kecamatan Karawaci, Pahing mengatakan Kecamatan Karawaci siap bertanding di ajang O2SN dan siap menjadi juara umum. “Kami sudah mempersiapkan para siswa sebaik mungkin untuk bertanding di ajang O2SN kali ini. Mudah-mudahan kami juga bisa mendapatkan gelar juara umum di tahun ini,” harapnya. (Ril/Red)",Sport
"Tak Miliki Izin, Pengusaha Galian C di Serang Diciduk Polisi","SERANG– Diduga melakukan penambangan tanpa izin di Desa Nanggung, Kecamatan Kopo, Kabupaten Serang, ID (36) pengusaha galian C asal Desa Aweh, Kecamatan Kalanganyar, Kabupaten Lebak, ditangkap Tim Resmob Satreskrim Polres Serang.Kasatreskrim Polres Serang, AKP Dedi Mirza membenarkan jika pihaknya mengamankan seorang wanita yang diketahui sebagai pengusaha tambang galian C yang berlokasi di wilayah Kecamatan Kopo, Kabupaten Serang.“Iya ID, kita amankan kemarin hari Rabu tanggal 22 Maret 2023 sekira jam 14.30 WIB, di rumahnya,” katanya, Kamis (23/3/2023).Dedi menjelaskan ID bersama dengan rekannya AW yang telah diamankan lebih dahulu pada Februari 2023 lalu, melakukan usaha penambangan tanpa memiliki izin dari instansi terkait.“AW dan tersangka ID melakukan penambangan tanpa izin. Penambangan tersebut berupa tanah urug,” jelasnya.Dedi mengungkapkan AW dan ID melakukan penjualan tanah urug kepada pembelinya, seharga Rp1,1 juta per truk.“Barang bukti yang kita amankan 1 Unit excavator, 1 buah buku catatan ritase pembelian tanah urug yang berlokasi di blok 15 batu numpuk Desa Nanggung,” ungkapnya.Dedi menegaskan atas perbuatannya tersangka ID akan dijerat dengan Pasal 158 Undang Undang Nomor 3 Tahun 2020 tentang Perubahan Atas Undang-Undang Nomor 4 Tahun 2009 tentang Pertambangan Mineral dan Batubara.“Untuk ancaman dipidana paling lama 10 tahun penjara dan denda paling banyak Rp10 miliar,” tegasnya.Dedi mengimbau kepada pelaku usaha tambang untuk menjalankan bisnisnya dengan melengkapi semua syarat dan izin dari instansi terkait. Jika tidak, kepolisian akan melakukan penindakan sesuai dengan peraturan dan perundang – undangan.“Kami jajaran Polres Serang berkomitmen akan terus melakukan penindakan terhadap para pelaku tambang ilegal di wilayah hukum Polres Serang Kabupaten,” tandasnya. (Red)",hukum
Pasutri Pembobol Bank BRI Tangsel Diduga Teman Terpidana Kasus Serupa,"SERANG– FRW alias Febrina selaku mantan Priority Banking Officer (PBO) di BRI Cabang Bumi Serpong Kota Tangerang Selatan (Tangsel) diduga merupakan teman dari Terpidana kasus Pembobolan Rekening nasabah prioritas, Nurhasan Kurniawan.Nurhasan diketahui merupakan mantan PBO di BRI Bumi Serpong Kota Tangsel juga. Ia sudah divonis 8 tahun penjara dan denda Rp500 juta dalam perkara pembobolan uang nasabah BRI prioritas atas nama Ahmad Suharya dengan total kerugian Rp8,5 Miliar.Diduga Febrina merupakan teman sekantor Nurhasan saat ia masih bekerja di BRI. Febrina bersama HS alias Hade suaminya melakukan pembuatan rekening BRI prioritas fiktif dengan 41 KTP palsu dan menyalahgunakan kartu kredit hasil pembukaan rekening tersebut.Modus yang dipakai oleh keduanya yaitu membuat rekening nasabah prioritas dengan identitas fiktif. Selanjutnya, rekening tersebut diisi dana pribadi mereka sebesar Rp500 juta.“Nama dia karang sendiri, dia punya identitas banyak yang lainnya itu, fotonya dia sendiri (Foto Hade) namanya banyak,” kata Kepala Kejati Banten Didik Farkhan Alisyahdi.Setelah mendapatkan kartu kredit untuk dipergunakan, keduanya kemudian menarik dana Rp500 juta tadi. Keduanya kemudian kembali membuat rekening baru dan kartu kredit baru secara berulang ulang.“Kartu kreditnya dia gunakan ada yang Rp100 Juta ada yang Rp300 juta,” kata Didik.Keduanya telah melancarkan aksinya selama 1 tahun lebih, yaitu sejak 2020-2021, akibatnya negara rugi Rp5,1 Miliar.Pasutri tersebut terancam menyusul Nurhasan menginap di hotel prodeo dengan ancaman maksimal 20 tahun karena melanggar Pasal 2 ayat (1) dan pasal 3 jo Undang-undang Tindak Pidana Korupsi. (Red)",hukum
Tatu Desak Golkar Cilegon Kembali Menang di Pemilu 2024,"CILEGON– Ketua Dewan Pimpinan Daerah (DPD) Partai Golkar Provinsi Banten, Ratu Tatu Chasanah mendesak pengurus DPD Golkar Cilegon agar kembali memecut kadernya supaya kembali menang pada Pemilu 2024.Tatu menilai kader Golkar di Cilegon saat mengalami penurunan. Itu terbukti pada periode 2019-2024 tak ada kader Golkar di Cilegon yang duduk di Kursi DPRD Provinsi Banten maupun DPR RI.Begitu juga pada momen Pilkada pada 2019, Kader Golkar Cilegon kalah dalam pesta demokrasi 5 tahunan tersebut.“Kader Golkar Cilegon itu untuk Anggota DPRD Banten hilang, jadi harus ada lagi,” ujar Tatu kepada wartawan usai acara Penandatanganan Kesepakatan Bersama tentang Kerjasama Antar Daerah Dalam Pengembangan Potensi Daerah antara Pemkot Cilegon dengan Pemkab Serang di Aula Setda II Cilegon, Selasa (1/8/2023).Sebab itu, kata Tatu, DPD Golkar Cilegon harus kembali menyatukan semangat untuk meraih target yang sudah ditetapkan Ketua Umum Parta Golkar.“DPP kembali menugaskan kepada ketua DPD I dan DPD II untuk ikut serta dalam Pileg, Pilkada, Pilgub dan Pilpres, tergetnya harusnya menang lagi, target Cilegon tentunya sudah di DPD II ya, kita berharap menang lagi,” ucap Tatu.Tatu berharap DPD Golkar Cilegon bisa kembali menempatkan para kadernya pada Pileg 2024 mendatang.“Karena memang kan ditargetkan di Provinsi Banten berapa, DPR RI berapa dan Kota berapa, ini sudah direkap dan sudah di tangan Ketum, Golkar Cilegon harus mendudukkan kembali Kadernya di DPR RI, DPRD Banten maupun kota karena kan semua partai tujuannya di eksekutif dan legislatif,” katanya.Terkait hal ini belum ada tanggapan dari DPD Golkar Cilegon. Wartawan masih berusaha mengkonfirmasi pihak terkait.(Man/Red)",Politik
"Barcelona Datangkan Francisco Trincao, The Next Cristiano Ronaldo","Barcelonamasih belanja pemain baru. The Catalans mendatangkan pemain muda Portugal yang dijuluki The Next Cristiano Ronaldo, Francisco Trincao.Barcelona mengumumkan transfer Francisco Trincao di situs resminya, Jumat (31/1/2020) sore WIB. Untuk memboyong pemain depan berusia 20 tahun itu dari SC Braga, Barca harus mengeluarkan uang 31 juta euro (sekitar Rp 470,9 miliar).Francisco Trincao diikat dengan kontrak lima tahun, dan punya klausul pelepasan senilai 500 juta euro (sekitar Rp 7,5 triliun). Tapi dia baru akan resmi menjadi pemain Barca pada 1 Juli 2020.Lahir pada 29 Desember 1999 di Portugal, Trincao merintis karier sepakbola di Vianense dan kemudian FC Porto, untuk kemudian pindah ke Braga. Baru pada Desember 2018 lalu Trincao dapat kesempatan tampil di tim senior Braga.Di musim ini dia sudah menjadi pilihan utama di lini depan Braga. Dari 22 laga yang sudah dijalani, Trincao menghasilkan tiga gol dan enam assist.Meski sudah masuk radar Barcelona, Trincao dianggap bukan incaran utama di bursa transfer musim dingin ini. Barca sempat digosipkan mengincar Piere Emerick-Aubameyang, namun harga yang terlalu tinggi membuat keinginan tersebut belum terlaksana.Meski masih muda, Trincao tak bisa dipandang sebelah mata. Dia sempat dijuluki sebagai The Next Cristiano Ronaldo.Trincao tampil cemerlang saat mengantar Portugal menjuarai Piala Eropa U-19 pada 2018. Bukan cuma memuncaki daftar pencetak gol terbanyak, dia juga bertengger di posisi teratas daftar pemberi assist.(Red)",Sport
