Judul,Isi,Kategori
"Rambu Lalu Lintas di Jalan Tol Dicuri, Pengelola : Bisa Berpotensi...","KAB. SERANG– Sejumlah rambu lalu lintas di Tol Tangerang – Merak dan Serang – Panimbang tepatnya di Kabupaten Serang, Banten hilang. Hilangnya atribut jalan itu lantaran dicuri oleh sekelompok orang.Papan rambu yang dicuri oleh komplotan tersebut diantaranya rambu peringatan kepada para pengguna jalan untuk berhati-hati sebab adanya pekerjaan di jalan tol hingga tanda larangan mendahului dari sebelah kiri.Kepala Divisi Operasi dan Pemeliharaan PT Astra Infra Toll Road, Samsul mengatakan imbas dari pencurian rambu-rambu tersebut tak hanya menyebabkan kerugian bagi pengelola jalan tol. Namun juga berpotensi menyebabkan kecelakaan pada pengguna jalan.“Kalau rambu-rambu ini kaitannya dihilangkan ini menjadi potensi (kecelakaan) bagi pengguna jalan,” ujarnya pada konferensi pers terkait penangkapan 6 pencuri rambu tol di Mapolres Serang, Selasa (24/10/2023).Baca juga:Komplotan Pencuri Rambu Lalu Lintas di Jalan Tol Tangerang – Merak dan Serpan Dibekuk PolisiSamsul menjelaskan para pengguna jalan bisa mengalami kebingungan lantaran petunjuk arah atau peringatan di jalan tol tidak ada.“Pertama pengguna jalan kehilangan arah apakah ini tadinya kecepatannya berapa atau dilarang parkir atau petunjuk-petunjuk lainnya sehingga pembuat jalan agak kehilangan arah kebingungan,” tambahnya.Sebelumnya diwartakan, enam pencuri rambu lalu lintas di jalan Tol Tangerang – Merak dan Serang – Panimbang tepatnya di wilayah Kabupaten Serang, Banten ditangkap polisi. Mereka berinisial MSB (32), AY (38), H (31), D (41), AS (27), dan AR (38).Para tersangka yang berasal berdomisili di wilayah Tangerang ini nekat melakukan perbuatannya sebanyak tiga kali. Hasil barang curian berupa rambu lalu lintas itu dijualnya kepada lapak barang-barang bekas dengan harga Rp4 juta.“Setelah dilakukan penggeledahan, ditemukan barang bukti yang ada di dalam mobil truk dan beberapa orang tersangka diamankan,” ujar Kapolres Serang AKBP Wiwin Setiawan.Kini keenam pelaku harus meringkuk di balik jeruji besi dan dikenakan Pasal 363 KUHPidana ancaman penjara maksimal 7 tahun penjara.(Nin/Dra/Red)",hukum
Arab Saudi Jadi Tuan Rumah Piala Dunia 2034 Setelah Australia Mundur,"JAKARTA– Arab Saudi akan menjadi tuan rumah Piala Dunia 2034 setelah FIFA mengonfirmasi mereka sebagai satu-satunya penawar untuk menggelar turnamen sepak bola terakbar sejagat itu.Dilansir dari BBC, Rabu (1/11/2023), Australia memutuskan untuk tidak mengajukan penawaran sebagai tuan rumah Piala Dunia 2034 hanya beberapa jam sebelum batas waktu deklarasi kertertarikan ditutup FIFA pada Selasa (31/10/2023).Dalam keterangannya, FIFA juga mengonfirmasi bahwa Maroko, Portugal dan Spanyol adalah satu-satunya penawar untuk edisi 2030, dengan pertandingan juga dimainkan di Argentina, Paraguay dan Uruguay.Kepastian tuan rumah Piala Dunia 2030 dan 2034 akan dikonfirmasi oleh badan sepak bola dunia itu dalam Kongres FIFA yang bakal berlangsung akhir tahun 2024 ini.Sementara untuk edisi 2026, tiga negara telah dipilih menjadi tuan rumah yakni Amerika, Meksiko, dan Kanada.“Tiga edisi, lima benua, dan 10 negara terlibat dalam pementasan pertandingan di turnamen ini – itulah yang membuat sepak bola benar-benar mendunia,” tulis presiden FIFA Gianni Infantino di Instagram.Gelandang Timnas Meksiko, Luis Chavez (tidak terlihat) melakukan selebrasi dengan rekan-rekannya setelah mencetak gol kedua timnya selama matchday ketiga Grup C Piala Dunia 2022 antara Arab Saudi vs Meksiko di Stadion Lusail, Qatar, Kamis (1/12/2022) dini hari WIB. [FIFA].Gelandang Timnas Meksiko, Luis Chavez (tidak terlihat) melakukan selebrasi dengan rekan-rekannya setelah mencetak gol kedua timnya selama matchday ketiga Grup C Piala Dunia 2022 antara Arab Saudi vs Meksiko di Stadion Lusail, Qatar, Kamis (1/12/2022) dini hari WIB. [FIFA]“Saat kita hidup di dunia yang semakin terpecah dan agresif, kami sekali lagi menunjukkan bahwa sepak bola, olahraga global terkemuka, bersatu dengan cara yang tiada duanya.”Sebelum Arab Saudi jadi satu-satunya kandidat tuan rumah Piala Dunia 2034, Australia dianggap sebagai penantang potensial karena FIFA telah mengumumkan edisi tersebut bakal berlangsung di Asia atau Oseania.Namun, Australia pada akhirnya berubah pikiran dengan beralasan mundur dari penawaran agar bisa fokus mengupayakan untuk menjadi tuan rumah Piala Asia Wanita pada tahun 2026 dan Piala Dunia Antarklub pada tahun 2029.Setelah batas waktu deklarasi kertertarikan ditutup, FIFA mengonfirmasi mereka akan segera memasuki proses penawaran dan evaluasi yang menyeluruh untuk penunjukkan host Piala Dunia 2030 dan 2034. (Red)",Sport
107 Anggota Jaringan JI dan JAD Asal Banten Lepas Baiat,"SERANG– Sebanyak 107 orang mantan anggota Jemaah Islamiyah (JI) dan Jamaah Ansharut Daulah (JAD) yang ada di Provinsi Banten telah melepaskan baiat dan berikrar setia kepada Negara Kesatuan Republik Indonesia.Pengucapan ikrar setia pada NKRI dan lepas baiat yang diselenggarakan oleh Satgas Wilayah Banten Densus 88 Mabes Polri bertempat di lantai 7 Gedung PUPR Banten, pada Rabu (15/11/2023).Tujuan diadakan acara tersebut adalah untuk mencegah terjadinya ancaman tindak pidana terorisme yang dapat mengganggu stabilitas keamanan wilayah Banten terutama menjelang pelaksanaan Pemilu 2024.Direktur Pencegahan Densus 88 Antiteror Polri Brigjen Pol Ami Prindani menjelaskan dengan lepas Baiat dan berikrar setia kepada NKRI, diharapkan mereka bisa hidup berdampingan satu sama lain dalam berbagai perbedaan di Negera Indonesia ini.“Pada saat mereka bergabung dengan jaringan teror mereka melakukan sumpah baiat, sebenernya itu sudah masuk unsur pidana, tapi kadang mereka bergabung karena ikutan, terpaksa atau ketidaktahuan,” ujar Ami Prindani.“Setelah lepas Baiat itu mereka bisa mendapatkan kembali haknya sebagai warga negara, bisa diberikan bantuan sosial, bisa mengikuti program lain. Kita juga menekankan kepada yang masih bergabung dengan organisasi terlarang agar meninggalkannya dan bisa ikut kembali ke NKRI,” jelasnya.Pasca pelepasan baiat dan bersumpah setia pada NKRI, mereka kemudian satu persatu mencium bendera merah putih yang merupakan lambang negara Indonesia.Acara tersebut dihadiri ulama kharismatik Banten, Abuya Muhtadi Dimyati, tokoh masyarakat Banten H. Embay Mulya Syarief dan tokoh ulama lainnyaSementara itu di tempat yang sama, Kasatgaswil Banten Densus 88 AKBP Mayndra Eka Wardhana menjelaskan terkait 107 orang tersebut.“Perlu diketahui 107 anggota mantan dari dua organisasi teroris tersebut berasal dari beberapa wilayah yang ada di Provinsi Banten antara lain Kota Serang, Kabupaten Serang, Lebak, Pandeglang, Kota Cilegon dan Kabupaten Tangerang dengan rincian 96 orang JI dan 11 orang dari JAD,” jelas Mayndra Eka.Ia juga mengatakan akan terus bersinergi bersama seluruh stakeholder terkait sebagai wujud pencegahan terorisme dan radikalisme.“Kegiatan ini merupakan sinergitas antara Satgaswil Banten Densus 88 Antiteror dengan Pemerintah Daerah Banten sebagai wujud pencegahan terorisme dan radikalisme sesuai dengan Keputusan Gubernur Banten Nomor 339.05/kep.173-Huk/2023 tentang pembentukan tim terpadu pelaksanaan rencana aksi daerah pencegahan dan penanggulangan extremisme berbasis kekerasan yang mengarah pada terorisme,” ucap Mayndra Eka.Terakhir Kasatgaswil Banten Densus 88 juga mengharapkan setelah melepaskan Baiat dan berikrar setia kepada NKRI ke 107 orang tersebut mendapat pembinaan.(Red)",hukum
Relawan Ganjar Mahfud Gelar Pengukuhan Gapura Nusantara Banten,"LEBAK –Relawan Ganjar Pranowo dan Mahfud MD menggelar pengukuhan Gapura Nusantara Banten serta tasyakuran rumah pemenangan Ganjar – Mahfud, yang digelar di Desa Warunggunung, Kecamatan Warunggunung, Kabupaten Lebak, Banten, Sabtu (18/11/2023).Ketua relawan Gapura Nusantara Banten, Muhamad Hunan Nafi Nu’man mengatakan, jika pengukuhan Gapura Nusantara Banten ini dilaksanakan bertujuan untuk lebih mengkompakkan semua relawan yang berada di Banten dalam pemenangan Ganjar – Mahfud.“Kita sudah berkoordinasi dengan semua relawan yang berada di korcam dan kordes untuk menyatukan visi misi, pergerakan dan perjuangan dalam pemenangan Ganjar Pranowo dan Mahfud MD untuk menjadi Presiden dan wakil Presiden RI di tahun 2024 nanti,” kata Hubab saat ditemui seusai acara, Sabtu (18/11/2023).Ia mengungkapkan, masalah target di Provinsi Banten, pihaknya mengarahkan kepada para relawan di setiap korcam dan kordes untuk siap memenangkan Ganjar dan Mahfud.“Intinya Ganjar Pranowo dan Mahfud MD menang pada Pilpres tahun 2024 nanti,” ujarnya.Sementara itu, Pembina relawan Gapura Nusantara Banten Marsekal TNI (Purn) Agus Supriatna menyampaikan, kegiatan pengukuhan Relawan Gapura Nusantara Banten dilakukan untuk menyatukan semua relawan yang mendukung Ganjar Pranowo dan Mahfud MD dalam Pilpres 2024.“Semoga dengan pengukuhan ini semua relawan bisa merapatkan barisan dalam pemenangan Ganjar dan Mahfud untuk menjadi Presiden dan Wakil Presiden RI di tahun 2024 nanti,” ucapnya.(San/Red).",Politik
Dua Warga Lebak Tewas Tertimbun Galian Tanah,"LEBAK– Diki (19) warga Kecamatan Sajira dan Adendi (30) warga Kecamatan Cibadak, tewas tertimbun galian tanah yang berada di Desa Kaduagung Tengah, Kecamatan Cibadak, Kabupaten Lebak, Banten, Kamis (26/10/2023) sekira pukul 10.30 WIB.Kapolsek Cibadak AKP Kasih Suparja membenarkan, kejadian tewasnya dua orang dilokasi tambang galian tanah.“Benar, kedua orang tersebut meninggal dunia di tempat akibat tertimbun tanah,” kata Suparja saat ditemui diruang kerjanya, Kamis (26/10/2023).Ia mengungkapkan, saat kejadian korban Adendi tengah melakukan pekerjaan di jalan galian. Korban melakukan pengerukan tanah dan terjadi longsor di tebing sebelah kiri. Material longsoran tanah menimpa beko.“Di saat longsoran tanah yang menimpa beko, operator berusaha menyelamatkan diri dengan cara melompat dari atas beko. Namun, pada saat melompat longsoran susulan pun kembali menimpa Adendi dan satu orang sopir truk yang saat itu berada tidak jauh dari beko. Keduanya tertimbun longsoran tanah dan meninggal dunia ditempat” ujarnya.Ia menambahkan, dengan adanya kejadian tersebut kernek sopir truk yang saat kejadian berada tidak jauh dari lokasi longsor mencari pertolongan. Namun, kedua korban meninggal dunia di tempat.“Saat ini kedua korban sudah dibawa kerumah duka untuk disemayamkan, sedangkan lokasi kejadian sudah diberi tanda berupa garis polisi,” ucapnya.(San/Red).",hukum
Gibran Rakabuming Siap Hadapi Mahfud MD dan Cak Imin Saat Debat...,"SERANG– Calon wakil Presiden (Cawapres), Gibran Rakabuming Raka dianggap pede menghadapi debat Prof Mahfud MD, dan Cak Imin mendatang.Menurut Ketua Dewan Pembina Partai Gerindra, Hashim Djojohadikusumo sebagai anak muda Gibran diklaim tak gentar lawan Prof Mahfud MD, dan Cak Imin.“Aduh kita lihat kemarin pidatonya Mas Gibran waktu di Indonesia Arena luar biasa, semua orang, termasuk banyak orang asing, mereka kaget dan seneng sekali. Mas Gibran sangat matang. Dia bawa energi semangat anak muda yang berhadapan yang lebih tua-tua, saya kira engga masalah itu,” kata Hasyim melansir suara.com (jaringan BantenNews.co.id), Minggu (29/10/2023).Terkait keanggotaan Gibran di PDIP, Adik kandung, Prabowo Subianto itu tidak mau menanggapi. Dia menyerahkan keputusannya kepada PDIP.“Ya itu urusan PDIP lah, saya enggak mau komentar,” tukas Hasyim.Sementara itu, menurut Hasyim, pasangan Prabowo-Gibran, akan mensejahterakan guru di Indonesia. Dia mengaku akan membagikan gaji tambahan sebanyak Rp2 juta, selama 13 bulan termasuk THR nya.“Guru akan dikasih Rp 2 juta, termasuk guru honorer,” kata Hasyim.Dia juga mengatakan tak perlu khawatir soal dana yang akan digunakan. Menurutnya biaya makan gratis, dan Rp 2 juta untuk guru, ada anggarannya.Terkait anggaran yang akan digunakan, Hasyim menjelaskan telah mempelajari aliran uang di Republik Indonesia.“Saya katakan, Saya sudah pelajari hal ini (pengelolaan uang negara), saya pribadi dengan tim yang saya pimpin sudah pelajari sudah lama bertahun-tahun dan berbulan-bulan, dan ternyata uangnya ada dan uangnya bakal ada untuk makanan gratis untuk gaji tambahan untuk seluruh guru-guru se-indonesia dari Aceh sampai Papua termasuk guru-guru di Depok,” pungkas Hasyim.(Red)",Politik
1.333 Caleg DPRD Banten Resmi Masuk DCT Pemilu 2024,"SERANG– Sebanyak 1.333 calon anggota legislatif (caleg) resmi masuk daftar calon tetap (DCT) DPRD Banten untuk Pemilu 2024 mendatang. Keputusan itu usai Komisi Pemilihan Umum (KPU) Provinsi Banten menggelar rapat pleno penetapan DCT Pemilu 2024 di Kantor KPU Provinsi Banten, Cipocok Jaya, Kota Serang, Jumat (3/11/2023).Berdasarkan informasi, Pemilu 2024 diikuti 18 partai, dengan total caleg DPRD Banten mencapai 1.333 orang.Dari 1.333 calon tersebut 833 calon laki-laki (62,49%) dan 500 calon perempuan (37,51%) termasuk calon yang berstatus mantan narapidana sebanyak 7 orang calon (0,53%) pada 5 partai politik.Ketua KPU Provinsi Banten, Muhamad Ihsan mengatakan, tahapan pencalonan Anggota DPRD ini terbagi dalam lima tahap yaitu, satu tahap penerimaan awal, dua tahap perbaikan dokumen persyaratan. Tiga, tahap pencermatan rancangan Daftar Calon Sementara (DCS), empat tahap pergantian DCS, dan lima, tahap pencermatan Daftar Calon Tetap (DCT).“Pada tahap penerimaan awal yang dilaksanakan pada tanggal 1 Mei hingga 14 Mei 2023 partai politik (parpol) mengajukan bakal calon Anggota DPRD sebanyak 1.560 orang bakal calon dengan calon laki-laki sebanyak 951 orang calon atau 60,96 persen, dan calon perempuan sebanyak 609 orang atau 39,04 persen,” kata IhsanLebih lanjut Ihsan menjelaskan, pada tahap perbaikan yang dilaksanakan pada tanggal 25 Juni hingga 9 Juli 2023 parpol peserta pemilu mengajukan bakal calon sebanyak 1.548 orang bakal calon atau berkurang 12 orang bakal calon dari pengajuan awal.“Rinciannya dengan bakal calon laki-laki sebanyak 949 orang atau 61,30 persen dan calon perempuan sebanyak 599 38,70 persen,” jelasnya.Selanjutnya pada tanggal 6 Agustus hingga 11 Agustus KPU melaksanakan tahapan penerimaan rancangan DCS, dimana parpol mengajukan bakal calon sebanyak 1.544 orang atau berkurang 4 orang dari tahap perbaikan dokumen persyaratan.“Berkurangnya bakal calon tersebut dikarenakan mundurnya bakal calon dari pencalonan,” ucapnya.Ihsan mengungkapkan, hasil verifikasi administrasi dokumen persyaratan dari jumlah 1.544 orang bakal calon tersebut, KPU menemukan 1.337 orang dinyatakan memenuhi syarat (MS), 205 orang dinyatakan tidak memenuhi syarat (TMS) dan 2 orang pada 1 dapil di 1 partai dinyatakan memenuhi syarat namun tidak disertakan dalam DCS dikarenakan tidak terpenuhinya syarat keterwakilan perempuan pada daerah pemilihan tersebut.“Oleh KPU dan diketahui serta disetujui oleh parpol mencoret 2 orang calon tersebut, dan pada tanggal 19 Agustus 2023 KPU Provinsi Banten menetapkan DCS sebanyak 1.337 orang calon dengan calon laki-laki sebanyak 831 orang calon atau 62,15 persen dan calon perempuan sebanyak 506 orang calon 37,85 persen,” ungkapnya.Menurut Ihsan, pada tahap pergantian DCS dimana calon yang boleh diganti yang dinyatakan TMS akibat adanya tanggapan masyarakat. Pada masa ini partai politik tidak ada yang mengajukan pergantian calon.Kemudian pada tanggal 24 September hingga 3 Oktober 2023 KPU Provinsi Banten melaksanakan tahap pencermatan DCT. Dimana pada tahap ini parpol diberikan kesempatan untuk yang terakhir kalinya untuk merubah susunan calon, mengganti calon dan mencoret atau mengurangi calon.“Parpol tidak diperbolehkan menambah jumlah calon sebagaimana yang telah ditetapkan dalam DCS. Pada tahap ini parpol mengajukan calon sebanyak 1.333 atau berkurang 4 orang dari DCS yang telah ditetapkan. Berkurangnya calon tersebut ada pada 3 partai politik yang disebabkan mengundurkan diri 2 orang dan menjadi tenaga PPPK sebanyak 2 orang,” ujarnya.“Dan pada tanggal 3 November 2023 KPU Provinsi Banten menetapkan DCT anggota DPRD Provinsi Banten Pemilu tahun 2024 sebanyak 1.333 dimana 833 calon laki-laki atau 62,49 persen dan 500 calon perempuan 37,51 persen yang tersebar pada 12 daerah pemilihan untuk memperebutkan 100 kursi DPRD Provinsi Banten,” sambungnya.Adapun sebaran kursi pada daerah pemilihan (dapil) tersebut antara lain, Dapil Banten 1 Kota Serang 6 kursi, Dapil Banten 2 Kabupaten Serang A 9 kursi. Dapil Banten 3 Kabupaten Serang B 5 kursi, Dapil Banten 4 Kabupaten Tangerang A 9 kursi.Dapil Banten 5 Kabupaten Serang B 9 kursi, Dapil Banten 6 Kabupaten Tangerang C 8 kursi, Dapil Banten 7 Kota Tangerang A 9 kursi. Dapil Banten 8 Kota Tangerang B 7 kursi, Dapil Banten 9 Kota Tangerang Selatan 11 kursi.Dapil Banten 10 Kabupaten Lebak 12 kursi, Dapil Banten 11 Kabupaten Pandeglang 11 kursi dan Dapil Banten 12 Kota Cilegon 4 kursi.(Mir/Red)",Politik
Kades Lontar Akui Pakai Duit Desa untuk Hiburan Malam Tiap Hari,"SERANG– Sidang kasus korupsi dana Desa Lontar Kecamatan Tirtayasa, Kabupaten Serang sebesar Rp988 Juta yang dilakukan oleh mantan kades, Aklani kembali digelar, Selasa (31/10/2023).Dalam sidang lanjutan dengan agenda mendengarkan keterangan terdakwa itu, mantan Kades Lontar Aklani mengakui jika dirinya memakai uang hasil korupsi dana desanya untuk hiburan malam hampir setiap hari.Terdakwa dalam keterangannya mengatakan jika ia menggunakan dana desa yang seharusnya untuk kegiatan pembangunan fisik desa serta kegiatan desa lainnya dengan total kerugian Rp988 juta.Alih-alih untuk pembangunan desa, Aklani bersama staf desa menghamburkan uang dana desa untuk hiburan malam dan sawer biduan. “Dipake buat hiburan dengan para staf yang mulia di Cilegon waktu itu,” kata terdakwa.Ia menuturkan jika dirinya bersama 4 staf desanya yang bernama Junaedi, Kholid, Pendi dan Syukron kerap menghabiskan uang Rp5-9 juta sekali hiburan malam. Ia juga biasa menyawer para pemandu karaoke sebesar Rp500-700 ribu per orangnya.“Jumat juga kalau buka juga saya hajar aja, saya minta ke mami (pemilik hiburan malam) jumat juga buka,” tuturnya.Sejauh ini ia mengaku telah mengembalikan sebagian dana pembangunan fisik desa melalui kontraktor pelaksana sebesar Rp198 juta. Untuk sisanya ia mengatakan belum sanggup membayar karena harus mendiskusikan dengan keluarganya.Saat hakim menanyakan apakah dirinya memiliki permohonan, Aklani mengatakan bahwa ia hanya ingin kawan-kawan staf desanya yang dulu bersama sama hiburan malam dapat juga masuk tahanan.“Walaupun saya merasakan lebih gede dari mereka mereka juga harus menanggung resikonya yang mulia. Saya minta pertimbangan aja biar saya ada temennya,” ujarnya.Aklani didakwa menyelewengkan dana 5 proyek fisik hingga diduga melakukan manipulasi laporan pertanggungjawaban penggunaan APBDes. Bahkan dana bantuan dari Pemprov untuk penyelenggaraan kegiatan Desa Siaga Kesehatan saat Pandemi Covid-19 tidak terlaksana sebab dana sebesar Rp50 juta tidak ia salurkan. Berdasarkan laporan hasil audit dari Inspektorat Kabupaten Serang kerugian negara ditaksir mencapai Rp988 juta.Perbuatan terdakwa Alani Bin Bakrudin diancam dengan Pasal 2 Ayat (1) Jo Pasal 18 UU RI Nomor 31 Tahun 1999 Tentang Pemberantasan Tindak Pidana Korupsi Jo UU RI Nomor 20 Tahun 2001 Tentang Perubahan Atas UU RI Nomor 31 Tahun 1999 Tentang Pemberantasan Tindak Pidana Korupsi.(Dra/Red)",hukum
Polisi Tahan Pengelola Korsel yang Tewaskan Bocah di Kabupaten Serang,"SERANG– Pengelola korsel di Kampung Cileuweung, Desa Kadubeurem, Kecamatan Pabuaran, Kabupaten Serang yang menewaskan bocah bernama Muhammad Gani akhirnya ditahan polisi. Hal itu disampaikan oleh Kapolresta Serang Kombes Pol Sofwan Hermanto.“Pengelola wahana sudah diamankan oleh kami. Kami juga sudah melakukan otopsi terhadap korban,” kata Sofwan kepada wartawan, Minggu (29/10/2023).Hasil otopsi menunjukkan korban mengalami luka lecet di punggung dan pinggang, memar di bagian tubuh, dan bintik pendarahan pada jantung. Diduga, korban tersetrum karena memegang pagar pembatas wahana yang berbahan besi dan teraliri listrik.“Perkiraan waktu kematian kurang dari 8 jam sebelum pemeriksaan dan tidak ada tanda-tanda kekerasan pada tubuh korban,” kata Sofwan.Baca juga:Pasar Malam di Kabupaten Serang Telan Korban, Warga Ngamuk Bakar Wahana BermainSofwan menjelaskan, kejadian bermula saat korban bersama keluarganya mendatangi wahana korsel untuk bermain. Setelah membeli es, korban menuju wahana Biang Lala helikopter. Korban kemudian duduk di pinggir pagar pembatas warna tersebut.Korban tidak menyadari bahwa dirinya tersetrum karena memegang pagar pembatas wahana yang berbahan besi. Korban kemudian dilarikan ke Puskesmas Ciomas, namun nyawanya tidak tertolong.Atas peristiwa tersebut, keluarga korban mencari pengelola wahana permainan korsel. Karena tidak bertemu dengan pengelola, keluarga korban kemudian membakar beberapa permainan di wahana tersebut.“Kami sudah mengamankan sejumlah saksi, termasuk keluarga korban. Kami juga akan memeriksa pengelola wahana untuk mengetahui penyebab peristiwa ini,” kata Sofwan.Sofwan menegaskan, pihaknya akan menindak tegas pengelola wahana yang lalai sehingga menyebabkan korban meninggal dunia.(Dhe/Red)",hukum
"Usai Video Mesum Viral, Mantan Guru di Carenang Menyerahkan Diri ke...","KAB. SERANG– Usai kasusnya viral, seorang mantan guru MTs di Kecamatan Carenang, Kabupaten Serang, Banten akhirnya menyerahkan diri. Pria berinisial LMH itu dilaporkan atas dugaan pelecehan seksual kepada siswi dan adik iparnya serta merekamnya hingga tersebar di jagat media sosial.LMH yang kini berprofesi sebagai karyawan perusahaan di kawasan Serang Timur itu langsung ditetapkan tersangka usai menjalani pemeriksaan. Saat ini dirinya mendekam di Rutan Polda Banten sejak Selasa (7/11/2023).Kepala Sub Direktorat (Kasubdit) IV Renakta (remaja, anak dan wanita) Ditreskrimum (Direktorat Reserse Kriminal Umum) Polda Banten Kompol Herlia Hartarani membenarkan bahwa tersangka dugaan kasus persetubuhan itu telah ditahan di Rutan Polda Banten. “Iya sudah ditahan di rutan, tanggal 7 November 2023,” katanya ketika dikonfirmasi, Rabu (8/11/2023).LMH mendatangi Polda Banten dengan didampingi lurah setempat. Ia dilaporkan oleh keluarga korban usai video adegan tak senonohnya bersama adik ipar viral. Ketika itu dia sudah bukan lagi menjadi guru melainkan telah beralih profesi sebagai karyawan perusahaan swasta di Serang Timur.“Yang bersangkutan (yang bersangkutan) datang didampingi lurahnya,” ujarnya.Kasus LMH awalnya mencuat setelah video adegan tak pantas bersama mantan siswinya tersebar di media sosial. Saat itu dirinya masih menjadi guru Penjaskes di sebuah sekolah madrasah.Tak hanya rekaman dengan mantan muridnya, video adegan serupa yang dilakukannya bersama adik ipar juga viral. Ketika itu dia sudah bukan lagi menjadi guru melainkan telah beralih profesi sebagai karyawan perusahaan swasta di Serang Timur.Keluarga kedua wanita dalam video yang tidak terima atas perbuatan mantan pendidik tersebut lantas melaporkannya ke pihak kepolisian atas dugaan pelecehan seksual di bawah umur. Keluarga adik iparnya melaporkan ke Polda Banten, sedangkan keluarga mantan siswi LMH melaporkan ke Polres Serang pada 22 Oktober 2023.(You/Nin/Red)",hukum
