Ulasan,Tanggal_Ulasan,Label,lokasi,tokens,normalisasi,stopword
pantainya cukup luas dan panjang pasir putihnya juga bersih untuk jalanjalan naik kuda per orang bayar ribubeli rujak ribu pop mie ribu,4 bulan lalu,Positif,pantai lombang,"['pantainya', 'cukup', 'luas', 'dan', 'panjang', 'pasir', 'putihnya', 'juga', 'bersih', 'untuk', 'jalanjalan', 'naik', 'kuda', 'per', 'orang', 'bayar', 'ribubeli', 'rujak', 'ribu', 'pop', 'mie', 'ribu']","['pantainya', 'cukup', 'luas', 'dan', 'panjang', 'pasir', 'putihnya', 'juga', 'bersih', 'untuk', 'jalanjalan', 'naik', 'kuda', 'per', 'orang', 'bayar', 'ribubeli', 'rujak', 'ribu', 'pop', 'mie', 'ribu']","['pantainya', 'cukup', 'luas', 'dan', 'panjang', 'pasir', 'putihnya', 'juga', 'bersih', 'untuk', 'jalanjalan', 'naik', 'kuda', 'per', 'orang', 'bayar', 'ribubeli', 'rujak', 'ribu', 'pop', 'mie', 'ribu']"
masih banyak sampah padahal tempat sampah banyakarea karang sudah diberi tandanamun tetap saja perahu kurang memperhatikan sehingga sempat nabrak karang dan susah bergerak,3 bulan lalu,Negatif,pantai lombang,"['masih', 'banyak', 'sampah', 'padahal', 'tempat', 'sampah', 'banyakarea', 'karang', 'sudah', 'diberi', 'tandanamun', 'tetap', 'saja', 'perahu', 'kurang', 'memperhatikan', 'sehingga', 'sempat', 'nabrak', 'karang', 'dan', 'susah', 'bergerak']","['masih', 'banyak', 'sampah', 'padahal', 'tempat', 'sampah', 'banyakarea', 'karang', 'sudah', 'diberi', 'tandanamun', 'tetap', 'saja', 'perahu', 'kurang', 'memperhatikan', 'sehingga', 'sempat', 'nabrak', 'karang', 'dan', 'susah', 'bergerak']","['masih', 'banyak', 'sampah', 'padahal', 'tempat', 'sampah', 'banyakarea', 'karang', 'sudah', 'diberi', 'tandanamun', 'tetap', 'saja', 'perahu', 'kurang', 'memperhatikan', 'sehingga', 'sempat', 'nabrak', 'karang', 'dan', 'susah', 'bergerak']"
lokasinya bagus pantainya luas jadi banyak spot lalu khas disini pohon cemaraa yang banyak sehingga rindang disini juga disediakan kamar mandi yang bisa dikatakan cukup bersih kantin dengan harga terjangkau tempat bermain,3 bulan lalu,Positif,pantai lombang,"['lokasinya', 'bagus', 'pantainya', 'luas', 'jadi', 'banyak', 'spot', 'lalu', 'khas', 'disini', 'pohon', 'cemaraa', 'yang', 'banyak', 'sehingga', 'rindang', 'disini', 'juga', 'disediakan', 'kamar', 'mandi', 'yang', 'bisa', 'dikatakan', 'cukup', 'bersih', 'kantin', 'dengan', 'harga', 'terjangkau', 'tempat', 'bermain']","['lokasinya', 'bagus', 'pantainya', 'luas', 'jadi', 'banyak', 'spot', 'lalu', 'khas', 'disini', 'pohon', 'cemaraa', 'yang', 'banyak', 'sehingga', 'rindang', 'disini', 'juga', 'disediakan', 'kamar', 'mandi', 'yang', 'bisa', 'dikatakan', 'cukup', 'bersih', 'kantin', 'dengan', 'harga', 'terjangkau', 'tempat', 'bermain']","['lokasinya', 'bagus', 'pantainya', 'luas', 'jadi', 'banyak', 'spot', 'lalu', 'khas', 'disini', 'pohon', 'cemaraa', 'yang', 'banyak', 'sehingga', 'rindang', 'disini', 'juga', 'disediakan', 'kamar', 'mandi', 'yang', 'bisa', 'dikatakan', 'cukup', 'bersih', 'kantin', 'dengan', 'harga', 'terjangkau', 'tempat', 'bermain']"
pantainya cantik bagus bnyk pohon cemara udangnya,3 minggu lalu,Positif,pantai lombang,"['pantainya', 'cantik', 'bagus', 'bnyk', 'pohon', 'cemara', 'udangnya']","['pantainya', 'cantik', 'bagus', 'banyak', 'pohon', 'cemara', 'udangnya']","['pantainya', 'cantik', 'bagus', 'banyak', 'pohon', 'cemara', 'udangnya']"
kurang fasilitas dan jalan ke lokasi kurang bagus,setahun lalu,Negatif,pantai lombang,"['kurang', 'fasilitas', 'dan', 'jalan', 'ke', 'lokasi', 'kurang', 'bagus']","['kurang', 'fasilitas', 'dan', 'jalan', 'ke', 'lokasi', 'kurang', 'bagus']","['kurang', 'fasilitas', 'dan', 'jalan', 'ke', 'lokasi', 'kurang', 'bagus']"
pantainya masih kotor dengan berbagai bungkusnya makanan instan seperti popmie dll penerapan jangan buang sampah semberangan masih minim pengunjung dengan se enaknya buang sampah di pinggir pantai,setahun lalu,Negatif,pantai lombang,"['pantainya', 'masih', 'kotor', 'dengan', 'berbagai', 'bungkusnya', 'makanan', 'instan', 'seperti', 'popmie', 'dll', 'penerapan', 'jangan', 'buang', 'sampah', 'semberangan', 'masih', 'minim', 'pengunjung', 'dengan', 'se', 'enaknya', 'buang', 'sampah', 'di', 'pinggir', 'pantai']","['pantainya', 'masih', 'kotor', 'dengan', 'berbagai', 'bungkusnya', 'makanan', 'instan', 'seperti', 'popmie', 'dan lain-lain', 'penerapan', 'jangan', 'buang', 'sampah', 'semberangan', 'masih', 'minim', 'pengunjung', 'dengan', 'se', 'enaknya', 'buang', 'sampah', 'di', 'pinggir', 'pantai']","['pantainya', 'masih', 'kotor', 'dengan', 'berbagai', 'bungkusnya', 'makanan', 'instan', 'seperti', 'popmie', 'dan lain-lain', 'penerapan', 'jangan', 'buang', 'sampah', 'semberangan', 'masih', 'minim', 'pengunjung', 'dengan', 'se', 'enaknya', 'buang', 'sampah', 'di', 'pinggir', 'pantai']"
pantai diujung timur pulau madura ini ditumbuhin dengan ribuan cemara laut yang sangat indah hamparan pasir putih yang lembut menjadikan pantai ini layak dijadikan destinasi,4 tahun lalu,Positif,pantai lombang,"['pantai', 'diujung', 'timur', 'pulau', 'madura', 'ini', 'ditumbuhin', 'dengan', 'ribuan', 'cemara', 'laut', 'yang', 'sangat', 'indah', 'hamparan', 'pasir', 'putih', 'yang', 'lembut', 'menjadikan', 'pantai', 'ini', 'layak', 'dijadikan', 'destinasi']","['pantai', 'diujung', 'timur', 'pulau', 'madura', 'ini', 'ditumbuhin', 'dengan', 'ribuan', 'cemara', 'laut', 'yang', 'sangat', 'indah', 'hamparan', 'pasir', 'putih', 'yang', 'lembut', 'menjadikan', 'pantai', 'ini', 'layak', 'dijadikan', 'destinasi']","['pantai', 'diujung', 'timur', 'pulau', 'madura', 'ini', 'ditumbuhin', 'dengan', 'ribuan', 'cemara', 'laut', 'yang', 'sangat', 'indah', 'hamparan', 'pasir', 'putih', 'yang', 'lembut', 'menjadikan', 'pantai', 'ini', 'layak', 'dijadikan', 'destinasi']"
pantainya bagus ombaknya besar ada wahana bermain ada kuda bisa di sewa banyak pendoponya jajanan juga banyaktetep jaga kebersihan ya,2 tahun lalu,Positif,pantai lombang,"['pantainya', 'bagus', 'ombaknya', 'besar', 'ada', 'wahana', 'bermain', 'ada', 'kuda', 'bisa', 'di', 'sewa', 'banyak', 'pendoponya', 'jajanan', 'juga', 'banyaktetep', 'jaga', 'kebersihan', 'ya']","['pantainya', 'bagus', 'ombaknya', 'besar', 'ada', 'wahana', 'bermain', 'ada', 'kuda', 'bisa', 'di', 'sewa', 'banyak', 'pendoponya', 'jajanan', 'juga', 'banyaktetep', 'jaga', 'kebersihan', 'iya']","['pantainya', 'bagus', 'ombaknya', 'besar', 'ada', 'wahana', 'bermain', 'ada', 'kuda', 'bisa', 'di', 'sewa', 'banyak', 'pendoponya', 'jajanan', 'juga', 'banyaktetep', 'jaga', 'kebersihan', 'iya']"
pantainya indah namun ada beberapa catatan yang semoga bisa membuat management pantai ini menjadi lebih baik,3 tahun lalu,Positif,pantai lombang,"['pantainya', 'indah', 'namun', 'ada', 'beberapa', 'catatan', 'yang', 'semoga', 'bisa', 'membuat', 'management', 'pantai', 'ini', 'menjadi', 'lebih', 'baik']","['pantainya', 'indah', 'namun', 'ada', 'beberapa', 'catatan', 'yang', 'semoga', 'bisa', 'membuat', 'management', 'pantai', 'ini', 'menjadi', 'lebih', 'baik']","['pantainya', 'indah', 'namun', 'ada', 'beberapa', 'catatan', 'yang', 'semoga', 'bisa', 'membuat', 'management', 'pantai', 'ini', 'menjadi', 'lebih', 'baik']"
pantai masih terbilang bersih berkunjung saat pertengahan minggu jadi tdk terlalu ramai lebih nyaman utk bisa kumpul dgn keluarga,2 tahun lalu,Positif,pantai lombang,"['pantai', 'masih', 'terbilang', 'bersih', 'berkunjung', 'saat', 'pertengahan', 'minggu', 'jadi', 'tdk', 'terlalu', 'ramai', 'lebih', 'nyaman', 'utk', 'bisa', 'kumpul', 'dgn', 'keluarga']","['pantai', 'masih', 'terbilang', 'bersih', 'berkunjung', 'saat', 'pertengahan', 'minggu', 'jadi', 'tidak', 'terlalu', 'ramai', 'lebih', 'nyaman', 'untuk', 'bisa', 'kumpul', 'dengan', 'keluarga']","['pantai', 'masih', 'terbilang', 'bersih', 'berkunjung', 'saat', 'pertengahan', 'minggu', 'jadi', 'tidak', 'terlalu', 'ramai', 'lebih', 'nyaman', 'untuk', 'bisa', 'kumpul', 'dengan', 'keluarga']"
