Judul,Link,Kategori
"MotoGP 2023 akan menjadi musim penenuan nasib pembalap Monster Yamaha Energy, Franco Morbidelli.",https://index.sindonews.com/index/10,SPORTS
Aston Villa menggagalkan upaya Tottenham Hotspur merebut posisi empat pada klasemen sementara Liga Inggris 2022-2023.,https://index.sindonews.com/index/10,SPORTS
Cristiano Ronaldo tidak akan bermain di Liga Champions Asia setelah kepindahannya ke Al-Nassr yang menghebohkan.,https://index.sindonews.com/index/10,SPORTS
Ilija Spasojevic menyebut lapangan sintetis menjadi tantangan untuk Timnas Indonesia saat melawan Filipina. di Piala AFF 2022.,https://index.sindonews.com/index/10,SPORTS
Egy Maulana Vikri memiliki resolusi 2023 selepas menjalani tahun 2022 yang penuh liku-liku dalam kariernya di klub maupun Timnas Indonesia.,https://index.sindonews.com/index/10,SPORTS
Paris Saint-Germain (PSG) menelan kekalahan Pertama di Liga Prancis 2022/2023. Mereka menyerah 1-3 di tangan Lens yang  membuat Christophe Galtier heran.,https://index.sindonews.com/index/10,SPORTS
Viktor Axelsen menjadi pebulu tangkis dengan pendapatan tertinggi sepanjang 2022.,https://index.sindonews.com/index/10,SPORTS
Pelatih Timnas Indonesia Shin Tae-yong geram pasukannya masih bermasalah dengan penyelesaian akhir.,https://index.sindonews.com/index/10,SPORTS
Penyerang Timnas Thailand Teerasil Dangda memuncaki daftar dengan koleksi 5 gol setelah mencetak brace di laga teranyar.,https://index.sindonews.com/index/10,SPORTS
Tim Nasional (Timnas) Indonesia memastikan lolos ke semifinal Piala AFF 2022 usai menggasak tuan rumah Filipina.,https://index.sindonews.com/index/10,SPORTS
Vietnam akan menghadapi Indonesia di semifinal Piala AFF 2022. Pelatih Park Hang-seo menegaskan pasukannya tak akan meremehkan skuad Garuda.,https://index.sindonews.com/index/10,SPORTS
"Cristiano Ronaldo sudah tiba di Riyadh, Arab Saudi, Selasa (3/1/2023). CR7 mendapat sambutan hangat dari banyak penggemar Al-Nassr.",https://index.sindonews.com/index/10,SPORTS
Klasemen Grup B Piala AFF 2022 ada di artikel ini. Timnas Vietnam keluar sebagai juara grup setelah melibas Myanmar dengan skor 3-0.,https://index.sindonews.com/index/10,SPORTS
Cristiano Ronaldo lolos tes medis menjelang perkenalan resmi oleh Al-Nassr sore ini menyusul transfer gratis dari Manchester United.,https://index.sindonews.com/index/10,SPORTS
Apriyani Rahayu/Siti Fadia Silva Ramadhanti mematok target tinggi di tahun 2023.,https://index.sindonews.com/index/10,SPORTS
Bali United resmi merekrut kiper Gerri Martin Milliam Mandagi.,https://index.sindonews.com/index/10,SPORTS
Joan Mir bertekad untuk menjalani musim perdananya bersama tim Repsol Honda dengan sebaik mungkin.,https://index.sindonews.com/index/10,SPORTS
"Wakil Presiden Federasi Sepakbola Vietnam (VFF), Tran Anh Tu, berencana mencari pelatih baru untuk menggantikan Park Hang-seo.",https://index.sindonews.com/index/10,SPORTS
Guiillermo Rigondeaux kembalinya sang mantan juara dunia dua kali ke atas ring pada Februari 2023 setelah kekalahan terakhir tahun lalu.,https://index.sindonews.com/index/10,SPORTS
Cristiano Ronaldo dinilai bakal melanggar aturan di Arab Saudi. Ini berkaitan mengenai hubungannya bersama kekasih Georgina Rodriguez,https://index.sindonews.com/index/10,SPORTS
"Pelatih Park Hang-seo mengaku puas Vietnam bisa menahan imbang Indonesia 0-0 pada leg pertama semifinal Piala AFF 2022. Sebab, itu sesuai target.",https://index.sindonews.com/index/10,SPORTS
"Indonesia Open Aquatic Championship (IOAC) siap bergulir di Stadion Akuatik, Gelora Bung Karno, Jakarta, 12-19 Desember 2022.",https://index.sindonews.com/index/10,SPORTS
"Pelatih Timnas Indonesia, Shin Tae-yong cukup menyayangkan hasil imbang saat menghadapi Vietnam di leg pertama semifinal Piala AFF 2022.",https://index.sindonews.com/index/10,SPORTS
"Mendikbudristek Nadiem Makarim mendapatkan banyak masukan tentang Program MBKM saat mengunjungi Universitas Negeri Manado (Unima) di Tondano, Kabupaten Minahasa, Sulawesi Utara, Jumat (6/1/2023).",https://index.sindonews.com/index/144,EDUKASI
Pelatih Timnas Vietnam Park Hang-seo langsung bersiap menatap leg kedua semiifnal Piala AFF 2022 kontra Indonesia.,https://index.sindonews.com/index/10,SPORTS
Hasil 0-0 di laga Indonesia vs Vietnam pada leg pertama semifinal Piala AFF 2022 mendapat tanggapan dari BLV Quang Huy.  Dia menyatakan negaranya beruntung bermain imbang di Jakarta.,https://index.sindonews.com/index/10,SPORTS
Liga Futsal Profesional (LFP) 2022/2023 telah dimulai. Pada Minggu (8/1/2023) akan tersaji lima pertandingan  yang bisa disaksikan di RCTI+.,https://index.sindonews.com/index/10,SPORTS
"Pesawat carteran Timnas Indonesia terlambat tiba di Hanoi. Akibatnya, pasukan Skuad Garuda batal menjalani latihan ringan.",https://index.sindonews.com/index/10,SPORTS
