ulasan,label,sentiment,score
Tempat wisata bagus di Jawa Timur.  Banyak spot foto selfie dan lebih bagus datang di malam hari. Lampu lampunya bagus kelap-kelip. ,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9996548891067505}]",0.9996548891067505
"Salah satu tempat wisata malam yang bisa di kunjungi bila  ke kota Batu. Tempatnya bukà mulai sore hingga malam hari. Tersedia berbagai macam wahana permainan. Banyak tersedia juga tempat untuk berfoto. Terdapat foodcourt yang menjual aneka makanan dan minuman, juga ada stand yang menjual oleh-oleh khas kota batu",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9966469407081604}]",0.9966469407081604
"Salah satu Tempat Wisata alternative yang dapat di kunjungi saat Malam hari di Kota Batu, menarik karena tempat ini setiap tahun terus berkembang mulai dari segi bangunan, fasilitas di dalam dan tentu saja Wahana yang di tawarkan di dalam BNS",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.999417781829834}]",0.999417781829834
"Banyak tersedia wahana disini. Mulai dari rumah hantu, taman lampion hingga gocart. Salah satu tempat wisata yang wajib dikunjungi di Batu.",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9948784112930298}]",0.9948784112930298
Wahana permainan di bns lengkap ..dr yg extrim sampai yg santai yg cocok unt keluarga tapi pengunjung hrs ingat bahwa tiket masuk tsb hny unt 3 wahana permainan yg sdh di tentukan pengelola saja dan bila ingin ke wahana lain harus bayar lg di loket dekat wahana yg di maksud.,NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9919488430023193}]",0.9919488430023193
"Dari semua wahana yang ada di BNS, yang paling bikin tutup mata Cinema 4Dnya! Yang lainnya sama kayak di wahana jatim park lainnya.",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9779354333877563}]",0.9779354333877563
"liburan ke Malang kurang lengkap tanpa mengunjungi BNS, the great place for holiday, permainan lengkap untuk semua kalangan anak2 sampai dewasa",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9936720132827759}]",0.9936720132827759
"Pemandangan ok klo datang sore hari dan tdk kepanasan, saat malam ada lampion park bagus buat foto2, tempat g terlalu besar,lumayan byk arena bermain, saat keluar melewati pusat oleh2",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9971526861190796}]",0.9971526861190796
Cukup bagus untuk hiburan malam hari....tapi sayang wahananya tidak terlalu banyak dan area parkir kurang luas..........,NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9951786994934082}]",0.9951786994934082
"Sesuai namanya, tempat ini berada di Batu-Malang, Jawa Timur, dikunjungi di malam hari begitu indah dengan aneka lampu warna warni yang nenyambut sejak kita masuk area parkir. Temoat ini penuh dengan berbagai wahana permainan yang bisa diikuti mulai anak-anak, remaja hingga dewasa. Ketika berada di Batu, sungguh menyenangkan jika bise menyempatkan berkunjung disini. ",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9996902942657471}]",0.9996902942657471
